Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC,,,,,
Day  ,JD  ,Month  ,State_id  ,Year  ,TAVE (F) 
23,113,4,'419532',1997,62
24,114,4,'419532',1997,60
25,115,4,'419532',1997,60
26,116,4,'419532',1997,57
27,117,4,'419532',1997,51
28,118,4,'419532',1997,53
29,119,4,'419532',1997,61
30,120,4,'419532',1997,70
1,121,5,'419532',1997,65
2,122,5,'419532',1997,66
3,123,5,'419532',1997,68
4,124,5,'419532',1997,68
5,125,5,'419532',1997,65
6,126,5,'419532',1997,71
7,127,5,'419532',1997,70
8,128,5,'419532',1997,72
9,129,5,'419532',1997,67
10,130,5,'419532',1997,59
11,131,5,'419532',1997,62
12,132,5,'419532',1997,66
13,133,5,'419532',1997,56
14,134,5,'419532',1997,66
15,135,5,'419532',1997,73
16,136,5,'419532',1997,68
17,137,5,'419532',1997,69
18,138,5,'419532',1997,75
19,139,5,'419532',1997,76
20,140,5,'419532',1997,71
21,141,5,'419532',1997,60
22,142,5,'419532',1997,60
23,143,5,'419532',1997,72
24,144,5,'419532',1997,76
25,145,5,'419532',1997,76
26,146,5,'419532',1997,79
27,147,5,'419532',1997,82
28,148,5,'419532',1997,70
29,149,5,'419532',1997,68
30,150,5,'419532',1997,72
31,151,5,'419532',1997,72
1,152,6,'419532',1997,70
2,153,6,'419532',1997,74
3,154,6,'419532',1997,75
4,155,6,'419532',1997,74
5,156,6,'419532',1997,74
6,157,6,'419532',1997,73
7,158,6,'419532',1997,71
8,159,6,'419532',1997,75
9,160,6,'419532',1997,72
10,161,6,'419532',1997,75
11,162,6,'419532',1997,72
12,163,6,'419532',1997,79
13,164,6,'419532',1997,81
14,165,6,'419532',1997,85
15,166,6,'419532',1997,81
16,167,6,'419532',1997,78
17,168,6,'419532',1997,78
18,169,6,'419532',1997,75
19,170,6,'419532',1997,80
20,171,6,'419532',1997,83
21,172,6,'419532',1997,86
22,173,6,'419532',1997,80
23,174,6,'419532',1997,74
24,175,6,'419532',1997,81
25,176,6,'419532',1997,79
26,177,6,'419532',1997,81
27,178,6,'419532',1997,81
28,179,6,'419532',1997,83
29,180,6,'419532',1997,81
30,181,6,'419532',1997,83
1,182,7,'419532',1997,83
2,183,7,'419532',1997,84
3,184,7,'419532',1997,85
4,185,7,'419532',1997,83
5,186,7,'419532',1997,80
6,187,7,'419532',1997,71
7,188,7,'419532',1997,73
8,189,7,'419532',1997,79
9,190,7,'419532',1997,83
10,191,7,'419532',1997,82
11,192,7,'419532',1997,82
12,193,7,'419532',1997,83
13,194,7,'419532',1997,84
14,195,7,'419532',1997,85
15,196,7,'419532',1997,85
16,197,7,'419532',1997,83
17,198,7,'419532',1997,83
18,199,7,'419532',1997,86
19,200,7,'419532',1997,86
20,201,7,'419532',1997,86
21,202,7,'419532',1997,85
22,203,7,'419532',1997,86
23,204,7,'419532',1997,87
24,205,7,'419532',1997,88
25,206,7,'419532',1997,87
26,207,7,'419532',1997,86
27,208,7,'419532',1997,87
28,209,7,'419532',1997,88
29,210,7,'419532',1997,87
30,211,7,'419532',1997,86
31,212,7,'419532',1997,81
1,213,8,'419532',1997,82
2,214,8,'419532',1997,81
3,215,8,'419532',1997,81
4,216,8,'419532',1997,83
5,217,8,'419532',1997,86
6,218,8,'419532',1997,86
7,219,8,'419532',1997,83
8,220,8,'419532',1997,64
9,221,8,'419532',1997,69
10,222,8,'419532',1997,77
11,223,8,'419532',1997,82
12,224,8,'419532',1997,83
13,225,8,'419532',1997,83
14,226,8,'419532',1997,86
15,227,8,'419532',1997,86
16,228,8,'419532',1997,86
17,229,8,'419532',1997,86
18,230,8,'419532',1997,87
19,231,8,'419532',1997,87
20,232,8,'419532',1997,87
21,233,8,'419532',1997,85
22,234,8,'419532',1997,84
23,235,8,'419532',1997,81
24,236,8,'419532',1997,78
25,237,8,'419532',1997,78
26,238,8,'419532',1997,78
27,239,8,'419532',1997,80
28,240,8,'419532',1997,81
29,241,8,'419532',1997,84
30,242,8,'419532',1997,85
31,243,8,'419532',1997,85
1,244,9,'419532',1997,85
2,245,9,'419532',1997,85
3,246,9,'419532',1997,87
4,247,9,'419532',1997,80
5,248,9,'419532',1997,74
6,249,9,'419532',1997,74
7,250,9,'419532',1997,76
8,251,9,'419532',1997,78
9,252,9,'419532',1997,85
10,253,9,'419532',1997,83
11,254,9,'419532',1997,75
12,255,9,'419532',1997,75
13,256,9,'419532',1997,78
14,257,9,'419532',1997,79
15,258,9,'419532',1997,79
16,259,9,'419532',1997,86
17,260,9,'419532',1997,86
18,261,9,'419532',1997,86
19,262,9,'419532',1997,86
20,263,9,'419532',1997,86
21,264,9,'419532',1997,78
22,265,9,'419532',1997,78
23,266,9,'419532',1997,75
24,267,9,'419532',1997,72
25,268,9,'419532',1997,67
26,269,9,'419532',1997,67
27,270,9,'419532',1997,70
28,271,9,'419532',1997,77
29,272,9,'419532',1997,77
30,273,9,'419532',1997,78
1,274,10,'419532',1997,84
2,275,10,'419532',1997,82
3,276,10,'419532',1997,81
4,277,10,'419532',1997,80
5,278,10,'419532',1997,78
6,279,10,'419532',1997,78
7,280,10,'419532',1997,76
8,281,10,'419532',1997,76
9,282,10,'419532',1997,76
10,283,10,'419532',1997,76
11,284,10,'419532',1997,76
12,285,10,'419532',1997,72
13,286,10,'419532',1997,62
14,287,10,'419532',1997,61
15,288,10,'419532',1997,60
16,289,10,'419532',1997,61
17,290,10,'419532',1997,66
18,291,10,'419532',1997,60
19,292,10,'419532',1997,65
20,293,10,'419532',1997,68
21,294,10,'419532',1997,63
22,295,10,'419532',1997,54
23,296,10,'419532',1997,55
24,297,10,'419532',1997,62
25,298,10,'419532',1997,68
26,299,10,'419532',1997,60
27,300,10,'419532',1997,43
28,301,10,'419532',1997,48
29,302,10,'419532',1997,57
30,303,10,'419532',1997,71
31,304,10,'419532',1997,68
1,305,11,'419532',1997,65
2,306,11,'419532',1997,65
3,307,11,'419532',1997,55
4,308,11,'419532',1997,56
5,309,11,'419532',1997,64
6,310,11,'419532',1997,55
7,311,11,'419532',1997,52
8,312,11,'419532',1997,54
9,313,11,'419532',1997,58
10,314,11,'419532',1997,48
11,315,11,'419532',1997,36
12,316,11,'419532',1997,42
13,317,11,'419532',1997,43
14,318,11,'419532',1997,45
15,319,11,'419532',1997,38
16,320,11,'419532',1997,36
17,321,11,'419532',1997,38
18,322,11,'419532',1997,39
19,323,11,'419532',1997,50
20,324,11,'419532',1997,50
21,325,11,'419532',1997,53
22,326,11,'419532',1997,52
23,327,11,'419532',1997,55
24,328,11,'419532',1997,57
25,329,11,'419532',1997,59
26,330,11,'419532',1997,61
27,331,11,'419532',1997,61
28,332,11,'419532',1997,63
29,333,11,'419532',1997,56
30,334,11,'419532',1997,50
1,335,12,'419532',1997,57
2,336,12,'419532',1997,52
3,337,12,'419532',1997,47
4,338,12,'419532',1997,39
5,339,12,'419532',1997,43
6,340,12,'419532',1997,41
7,341,12,'419532',1997,40
8,342,12,'419532',1997,37
9,343,12,'419532',1997,56
10,344,12,'419532',1997,53
11,345,12,'419532',1997,35
12,346,12,'419532',1997,37
13,347,12,'419532',1997,32
14,348,12,'419532',1997,36
15,349,12,'419532',1997,41
16,350,12,'419532',1997,50
17,351,12,'419532',1997,49
18,352,12,'419532',1997,52
19,353,12,'419532',1997,52
20,354,12,'419532',1997,57
21,355,12,'419532',1997,45
22,356,12,'419532',1997,47
23,357,12,'419532',1997,43
24,358,12,'419532',1997,39
25,359,12,'419532',1997,41
26,360,12,'419532',1997,41
27,361,12,'419532',1997,34
28,362,12,'419532',1997,30
29,363,12,'419532',1997,39
30,364,12,'419532',1997,43
31,365,12,'419532',1997,49
1,1,1,'419532',1998,46
2,2,1,'419532',1998,51
3,3,1,'419532',1998,62
4,4,1,'419532',1998,66
5,5,1,'419532',1998,56
6,6,1,'419532',1998,56
7,7,1,'419532',1998,49
8,8,1,'419532',1998,. 
9,9,1,'419532',1998,. 
10,10,1,'419532',1998,. 
11,11,1,'419532',1998,. 
12,12,1,'419532',1998,. 
13,13,1,'419532',1998,. 
14,14,1,'419532',1998,. 
15,15,1,'419532',1998,. 
16,16,1,'419532',1998,. 
17,17,1,'419532',1998,. 
18,18,1,'419532',1998,. 
19,19,1,'419532',1998,. 
20,20,1,'419532',1998,. 
21,21,1,'419532',1998,. 
22,22,1,'419532',1998,. 
23,23,1,'419532',1998,. 
24,24,1,'419532',1998,39
25,25,1,'419532',1998,46
26,26,1,'419532',1998,46
27,27,1,'419532',1998,47
28,28,1,'419532',1998,53
29,29,1,'419532',1998,54
30,30,1,'419532',1998,51
31,31,1,'419532',1998,52
1,32,2,'419532',1998,54
2,33,2,'419532',1998,52
3,34,2,'419532',1998,50
4,35,2,'419532',1998,46
5,36,2,'419532',1998,46
6,37,2,'419532',1998,43
7,38,2,'419532',1998,44
8,39,2,'419532',1998,44
9,40,2,'419532',1998,52
10,41,2,'419532',1998,54
11,42,2,'419532',1998,48
12,43,2,'419532',1998,52
13,44,2,'419532',1998,43
14,45,2,'419532',1998,46
15,46,2,'419532',1998,50
16,47,2,'419532',1998,52
17,48,2,'419532',1998,45
18,49,2,'419532',1998,46
19,50,2,'419532',1998,54
20,51,2,'419532',1998,54
21,52,2,'419532',1998,55
22,53,2,'419532',1998,48
23,54,2,'419532',1998,47
24,55,2,'419532',1998,56
25,56,2,'419532',1998,66
26,57,2,'419532',1998,61
27,58,2,'419532',1998,51
28,59,2,'419532',1998,47
1,60,3,'419532',1998,44
2,61,3,'419532',1998,51
3,62,3,'419532',1998,42
4,63,3,'419532',1998,46
5,64,3,'419532',1998,63
6,65,3,'419532',1998,54
7,66,3,'419532',1998,47
8,67,3,'419532',1998,42
9,68,3,'419532',1998,32
10,69,3,'419532',1998,32
11,70,3,'419532',1998,33
12,71,3,'419532',1998,38
13,72,3,'419532',1998,33
14,73,3,'419532',1998,47
15,74,3,'419532',1998,55
16,75,3,'419532',1998,56
17,76,3,'419532',1998,54
18,77,3,'419532',1998,51
19,78,3,'419532',1998,60
20,79,3,'419532',1998,42
21,80,3,'419532',1998,44
22,81,3,'419532',1998,51
23,82,3,'419532',1998,61
24,83,3,'419532',1998,67
25,84,3,'419532',1998,63
26,85,3,'419532',1998,68
27,86,3,'419532',1998,66
28,87,3,'419532',1998,71
29,88,3,'419532',1998,70
30,89,3,'419532',1998,64
31,90,3,'419532',1998,63
1,91,4,'419532',1998,60
2,92,4,'419532',1998,65
3,93,4,'419532',1998,67
4,94,4,'419532',1998,62
5,95,4,'419532',1998,54
6,96,4,'419532',1998,59
7,97,4,'419532',1998,63
8,98,4,'419532',1998,67
9,99,4,'419532',1998,61
10,100,4,'419532',1998,60
11,101,4,'419532',1998,66
12,102,4,'419532',1998,66
13,103,4,'419532',1998,67
14,104,4,'419532',1998,69
15,105,4,'419532',1998,70
16,106,4,'419532',1998,67
17,107,4,'419532',1998,66
18,108,4,'419532',1998,54
19,109,4,'419532',1998,59
20,110,4,'419532',1998,68
21,111,4,'419532',1998,61
22,112,4,'419532',1998,57
23,113,4,'419532',1998,61
24,114,4,'419532',1998,66
25,115,4,'419532',1998,75
26,116,4,'419532',1998,73
27,117,4,'419532',1998,62
28,118,4,'419532',1998,56
29,119,4,'419532',1998,52
30,120,4,'419532',1998,59
1,121,5,'419532',1998,65
2,122,5,'419532',1998,72
3,123,5,'419532',1998,73
4,124,5,'419532',1998,66
5,125,5,'419532',1998,75
6,126,5,'419532',1998,80
7,127,5,'419532',1998,80
8,128,5,'419532',1998,75
9,129,5,'419532',1998,74
10,130,5,'419532',1998,66
11,131,5,'419532',1998,71
12,132,5,'419532',1998,77
13,133,5,'419532',1998,77
14,134,5,'419532',1998,75
15,135,5,'419532',1998,79
16,136,5,'419532',1998,77
17,137,5,'419532',1998,76
18,138,5,'419532',1998,77
19,139,5,'419532',1998,82
20,140,5,'419532',1998,83
21,141,5,'419532',1998,83
22,142,5,'419532',1998,80
23,143,5,'419532',1998,80
24,144,5,'419532',1998,80
25,145,5,'419532',1998,78
26,146,5,'419532',1998,74
27,147,5,'419532',1998,76
28,148,5,'419532',1998,73
29,149,5,'419532',1998,84
30,150,5,'419532',1998,85
31,151,5,'419532',1998,84
1,152,6,'419532',1998,85
2,153,6,'419532',1998,86
3,154,6,'419532',1998,85
4,155,6,'419532',1998,86
5,156,6,'419532',1998,79
6,157,6,'419532',1998,61
7,158,6,'419532',1998,64
8,159,6,'419532',1998,70
9,160,6,'419532',1998,83
10,161,6,'419532',1998,85
11,162,6,'419532',1998,77
12,163,6,'419532',1998,79
13,164,6,'419532',1998,86
14,165,6,'419532',1998,87
15,166,6,'419532',1998,77
16,167,6,'419532',1998,73
17,168,6,'419532',1998,83
18,169,6,'419532',1998,85
19,170,6,'419532',1998,87
20,171,6,'419532',1998,88
21,172,6,'419532',1998,88
22,173,6,'419532',1998,88
23,174,6,'419532',1998,87
24,175,6,'419532',1998,85
25,176,6,'419532',1998,86
26,177,6,'419532',1998,87
27,178,6,'419532',1998,88
28,179,6,'419532',1998,89
29,180,6,'419532',1998,88
30,181,6,'419532',1998,87
1,182,7,'419532',1998,86
2,183,7,'419532',1998,89
3,184,7,'419532',1998,86
4,185,7,'419532',1998,86
5,186,7,'419532',1998,85
6,187,7,'419532',1998,83
7,188,7,'419532',1998,90
8,189,7,'419532',1998,91
9,190,7,'419532',1998,90
10,191,7,'419532',1998,89
11,192,7,'419532',1998,90
12,193,7,'419532',1998,91
13,194,7,'419532',1998,91
14,195,7,'419532',1998,86
15,196,7,'419532',1998,85
16,197,7,'419532',1998,87
17,198,7,'419532',1998,88
18,199,7,'419532',1998,84
19,200,7,'419532',1998,84
20,201,7,'419532',1998,85
21,202,7,'419532',1998,89
22,203,7,'419532',1998,88
23,204,7,'419532',1998,87
24,205,7,'419532',1998,90
25,206,7,'419532',1998,90
26,207,7,'419532',1998,90
27,208,7,'419532',1998,90
28,209,7,'419532',1998,90
29,210,7,'419532',1998,90
30,211,7,'419532',1998,90
31,212,7,'419532',1998,89
1,213,8,'419532',1998,87
2,214,8,'419532',1998,87
3,215,8,'419532',1998,90
4,216,8,'419532',1998,89
5,217,8,'419532',1998,78
6,218,8,'419532',1998,79
7,219,8,'419532',1998,77
8,220,8,'419532',1998,82
9,221,8,'419532',1998,87
10,222,8,'419532',1998,88
11,223,8,'419532',1998,86
12,224,8,'419532',1998,86
13,225,8,'419532',1998,83
14,226,8,'419532',1998,80
15,227,8,'419532',1998,75
16,228,8,'419532',1998,81
17,229,8,'419532',1998,83
18,230,8,'419532',1998,84
19,231,8,'419532',1998,80
20,232,8,'419532',1998,81
21,233,8,'419532',1998,82
22,234,8,'419532',1998,82
23,235,8,'419532',1998,82
24,236,8,'419532',1998,82
25,237,8,'419532',1998,84
26,238,8,'419532',1998,86
27,239,8,'419532',1998,86
28,240,8,'419532',1998,85
29,241,8,'419532',1998,87
30,242,8,'419532',1998,83
31,243,8,'419532',1998,81
1,244,9,'419532',1998,81
2,245,9,'419532',1998,80
3,246,9,'419532',1998,84
4,247,9,'419532',1998,86
5,248,9,'419532',1998,91
6,249,9,'419532',1998,84
7,250,9,'419532',1998,82
8,251,9,'419532',1998,80
9,252,9,'419532',1998,82
10,253,9,'419532',1998,76
11,254,9,'419532',1998,79
12,255,9,'419532',1998,79
13,256,9,'419532',1998,71
14,257,9,'419532',1998,74
15,258,9,'419532',1998,80
16,259,9,'419532',1998,79
17,260,9,'419532',1998,73
18,261,9,'419532',1998,76
19,262,9,'419532',1998,79
20,263,9,'419532',1998,79
21,264,9,'419532',1998,80
22,265,9,'419532',1998,84
23,266,9,'419532',1998,81
24,267,9,'419532',1998,76
25,268,9,'419532',1998,83
26,269,9,'419532',1998,81
27,270,9,'419532',1998,80
28,271,9,'419532',1998,81
29,272,9,'419532',1998,80
30,273,9,'419532',1998,80
1,274,10,'419532',1998,80
2,275,10,'419532',1998,80
3,276,10,'419532',1998,75
4,277,10,'419532',1998,81
5,278,10,'419532',1998,83
6,279,10,'419532',1998,72
7,280,10,'419532',1998,59
8,281,10,'419532',1998,63
9,282,10,'419532',1998,62
10,283,10,'419532',1998,62
11,284,10,'419532',1998,66
12,285,10,'419532',1998,67
13,286,10,'419532',1998,67
14,287,10,'419532',1998,68
15,288,10,'419532',1998,70
16,289,10,'419532',1998,70
17,290,10,'419532',1998,77
18,291,10,'419532',1998,64
19,292,10,'419532',1998,62
20,293,10,'419532',1998,63
21,294,10,'419532',1998,56
22,295,10,'419532',1998,59
23,296,10,'419532',1998,54
24,297,10,'419532',1998,53
25,298,10,'419532',1998,56
26,299,10,'419532',1998,64
27,300,10,'419532',1998,65
28,301,10,'419532',1998,68
29,302,10,'419532',1998,72
30,303,10,'419532',1998,74
31,304,10,'419532',1998,72
1,305,11,'419532',1998,66
2,306,11,'419532',1998,53
3,307,11,'419532',1998,54
4,308,11,'419532',1998,58
5,309,11,'419532',1998,49
6,310,11,'419532',1998,39
7,311,11,'419532',1998,47
8,312,11,'419532',1998,48
9,313,11,'419532',1998,55
10,314,11,'419532',1998,61
11,315,11,'419532',1998,47
12,316,11,'419532',1998,54
13,317,11,'419532',1998,50
14,318,11,'419532',1998,51
15,319,11,'419532',1998,55
16,320,11,'419532',1998,53
17,321,11,'419532',1998,65
18,322,11,'419532',1998,58
19,323,11,'419532',1998,69
20,324,11,'419532',1998,61
21,325,11,'419532',1998,49
22,326,11,'419532',1998,52
23,327,11,'419532',1998,61
24,328,11,'419532',1998,66
25,329,11,'419532',1998,67
26,330,11,'419532',1998,56
27,331,11,'419532',1998,59
28,332,11,'419532',1998,66
29,333,11,'419532',1998,68
30,334,11,'419532',1998,65
1,335,12,'419532',1998,57
2,336,12,'419532',1998,57
3,337,12,'419532',1998,66
4,338,12,'419532',1998,59
5,339,12,'419532',1998,64
6,340,12,'419532',1998,71
7,341,12,'419532',1998,59
8,342,12,'419532',1998,42
9,343,12,'419532',1998,40
10,344,12,'419532',1998,38
11,345,12,'419532',1998,42
12,346,12,'419532',1998,40
13,347,12,'419532',1998,40
14,348,12,'419532',1998,45
15,349,12,'419532',1998,45
16,350,12,'419532',1998,46
17,351,12,'419532',1998,48
18,352,12,'419532',1998,50
19,353,12,'419532',1998,50
20,354,12,'419532',1998,44
21,355,12,'419532',1998,49
22,356,12,'419532',1998,34
23,357,12,'419532',1998,20
24,358,12,'419532',1998,24
25,359,12,'419532',1998,24
26,360,12,'419532',1998,28
27,361,12,'419532',1998,36
28,362,12,'419532',1998,41
29,363,12,'419532',1998,44
30,364,12,'419532',1998,44
31,365,12,'419532',1998,44
1,1,1,'419532',1999,46
2,2,1,'419532',1999,47
3,3,1,'419532',1999,33
4,4,1,'419532',1999,21
5,5,1,'419532',1999,28
6,6,1,'419532',1999,43
7,7,1,'419532',1999,46
8,8,1,'419532',1999,51
9,9,1,'419532',1999,29
10,10,1,'419532',1999,27
11,11,1,'419532',1999,40
12,12,1,'419532',1999,52
13,13,1,'419532',1999,53
14,14,1,'419532',1999,32
15,15,1,'419532',1999,38
16,16,1,'419532',1999,51
17,17,1,'419532',1999,50
18,18,1,'419532',1999,51
19,19,1,'419532',1999,47
20,20,1,'419532',1999,59
21,21,1,'419532',1999,60
22,22,1,'419532',1999,63
23,23,1,'419532',1999,44
24,24,1,'419532',1999,45
25,25,1,'419532',1999,59
26,26,1,'419532',1999,49
27,27,1,'419532',1999,64
28,28,1,'419532',1999,62
29,29,1,'419532',1999,56
30,30,1,'419532',1999,45
31,31,1,'419532',1999,42
1,32,2,'419532',1999,38
2,33,2,'419532',1999,55
3,34,2,'419532',1999,49
4,35,2,'419532',1999,56
5,36,2,'419532',1999,55
6,37,2,'419532',1999,64
7,38,2,'419532',1999,55
8,39,2,'419532',1999,59
9,40,2,'419532',1999,59
10,41,2,'419532',1999,61
11,42,2,'419532',1999,66
12,43,2,'419532',1999,42
13,44,2,'419532',1999,39
14,45,2,'419532',1999,47
15,46,2,'419532',1999,50
16,47,2,'419532',1999,58
17,48,2,'419532',1999,46
18,49,2,'419532',1999,48
19,50,2,'419532',1999,49
20,51,2,'419532',1999,51
21,52,2,'419532',1999,48
22,53,2,'419532',1999,42
23,54,2,'419532',1999,43
24,55,2,'419532',1999,49
25,56,2,'419532',1999,62
26,57,2,'419532',1999,66
27,58,2,'419532',1999,67
28,59,2,'419532',1999,51
1,60,3,'419532',1999,61
2,61,3,'419532',1999,57
3,62,3,'419532',1999,53
4,63,3,'419532',1999,47
5,64,3,'419532',1999,62
6,65,3,'419532',1999,60
7,66,3,'419532',1999,54
8,67,3,'419532',1999,50
9,68,3,'419532',1999,56
10,69,3,'419532',1999,52
11,70,3,'419532',1999,62
12,71,3,'419532',1999,51
13,72,3,'419532',1999,42
14,73,3,'419532',1999,37
15,74,3,'419532',1999,40
16,75,3,'419532',1999,51
17,76,3,'419532',1999,60
18,77,3,'419532',1999,62
19,78,3,'419532',1999,56
20,79,3,'419532',1999,48
21,80,3,'419532',1999,48
22,81,3,'419532',1999,54
23,82,3,'419532',1999,66
24,83,3,'419532',1999,50
25,84,3,'419532',1999,55
26,85,3,'419532',1999,53
27,86,3,'419532',1999,56
28,87,3,'419532',1999,50
29,88,3,'419532',1999,53
30,89,3,'419532',1999,52
31,90,3,'419532',1999,55
1,91,4,'419532',1999,64
2,92,4,'419532',1999,72
3,93,4,'419532',1999,69
4,94,4,'419532',1999,58
5,95,4,'419532',1999,70
6,96,4,'419532',1999,57
7,97,4,'419532',1999,63
8,98,4,'419532',1999,68
9,99,4,'419532',1999,71
10,100,4,'419532',1999,69
11,101,4,'419532',1999,57
12,102,4,'419532',1999,56
13,103,4,'419532',1999,70
14,104,4,'419532',1999,67
15,105,4,'419532',1999,60
16,106,4,'419532',1999,49
17,107,4,'419532',1999,45
18,108,4,'419532',1999,52
19,109,4,'419532',1999,62
20,110,4,'419532',1999,72
21,111,4,'419532',1999,75
22,112,4,'419532',1999,72
23,113,4,'419532',1999,79
24,114,4,'419532',1999,69
25,115,4,'419532',1999,62
26,116,4,'419532',1999,67
27,117,4,'419532',1999,63
28,118,4,'419532',1999,69
29,119,4,'419532',1999,73
30,120,4,'419532',1999,66
1,121,5,'419532',1999,67
2,122,5,'419532',1999,65
3,123,5,'419532',1999,63
4,124,5,'419532',1999,75
5,125,5,'419532',1999,69
6,126,5,'419532',1999,59
7,127,5,'419532',1999,59
8,128,5,'419532',1999,67
9,129,5,'419532',1999,75
10,130,5,'419532',1999,73
11,131,5,'419532',1999,66
12,132,5,'419532',1999,68
13,133,5,'419532',1999,64
14,134,5,'419532',1999,71
15,135,5,'419532',1999,76
16,136,5,'419532',1999,80
17,137,5,'419532',1999,78
18,138,5,'419532',1999,68
19,139,5,'419532',1999,64
20,140,5,'419532',1999,73
21,141,5,'419532',1999,75
22,142,5,'419532',1999,75
23,143,5,'419532',1999,78
24,144,5,'419532',1999,73
25,145,5,'419532',1999,71
26,146,5,'419532',1999,74
27,147,5,'419532',1999,69
28,148,5,'419532',1999,71
29,149,5,'419532',1999,71
30,150,5,'419532',1999,73
31,151,5,'419532',1999,77
1,152,6,'419532',1999,81
2,153,6,'419532',1999,81
3,154,6,'419532',1999,80
4,155,6,'419532',1999,80
5,156,6,'419532',1999,81
6,157,6,'419532',1999,81
7,158,6,'419532',1999,78
8,159,6,'419532',1999,80
9,160,6,'419532',1999,80
10,161,6,'419532',1999,79
11,162,6,'419532',1999,77
12,163,6,'419532',1999,77
13,164,6,'419532',1999,73
14,165,6,'419532',1999,75
15,166,6,'419532',1999,74
16,167,6,'419532',1999,74
17,168,6,'419532',1999,75
18,169,6,'419532',1999,68
19,170,6,'419532',1999,75
20,171,6,'419532',1999,80
21,172,6,'419532',1999,78
22,173,6,'419532',1999,75
23,174,6,'419532',1999,79
24,175,6,'419532',1999,79
25,176,6,'419532',1999,79
26,177,6,'419532',1999,78
27,178,6,'419532',1999,83
28,179,6,'419532',1999,84
29,180,6,'419532',1999,85
30,181,6,'419532',1999,83
1,182,7,'419532',1999,81
2,183,7,'419532',1999,84
3,184,7,'419532',1999,82
4,185,7,'419532',1999,82
5,186,7,'419532',1999,80
6,187,7,'419532',1999,82
7,188,7,'419532',1999,81
8,189,7,'419532',1999,81
9,190,7,'419532',1999,84
10,191,7,'419532',1999,84
